,team,tavg,wspd,prcp
0,LAA,21.028571428571432,7.6571428571428575,22.0
1,ARI,30.357142857142854,11.185714285714287,11.0
2,ATL,21.45714285714286,9.714285714285714,126.85714285714286
3,BAL,19.599999999999998,10.828571428571431,130.42857142857142
4,BOS,16.17142857142857,17.485714285714288,64.71428571428571
5,CHN,17.585714285714285,15.057142857142855,110.78571428571429
6,CHA,17.585714285714285,15.057142857142855,110.78571428571429
7,CIN,18.042857142857144,9.957142857142857,108.71428571428571
8,CLE,17.185714285714287,15.928571428571429,126.71428571428571
9,COL,19.583333333333332,13.733333333333334,27.3
10,DET,16.614285714285714,12.4,100.47142857142858
11,MIA,27.699999999999996,14.685714285714285,209.42857142857142
12,HOU,26.385714285714283,12.614285714285714,110.42857142857143
13,KCA,19.771428571428572,13.185714285714285,97.42857142857143
14,LAN,20.385714285714283,10.585714285714287,25.0
15,MIL,15.742857142857142,14.771428571428572,103.57142857142857
16,MIN,15.657142857142858,13.87142857142857,86.57142857142857
17,WAS,20.52857142857143,13.614285714285714,128.42857142857142
18,NYN,17.857142857142854,17.92857142857143,81.42857142857143
19,NYA,18.2,12.057142857142855,110.85714285714286
20,OAK,17.37142857142857,14.742857142857144,10.542857142857143
21,PHI,19.22857142857143,14.285714285714286,114.14285714285714
22,PIT,16.885714285714283,11.42857142857143,85.42857142857143
23,SLN,19.485714285714288,11.757142857142858,115.28571428571429
24,SDN,20.47142857142857,9.642857142857142,22.0
25,SFN,17.414285714285715,14.742857142857144,10.542857142857143
26,SEA,15.328571428571431,8.885714285714286,48.0
27,TBA,26.785714285714285,14.12857142857143,123.14285714285714
28,TEX,24.757142857142856,16.65714285714286,105.42857142857143
29,TOR,14.857142857142858,15.02,58.08571428571429
