,team,tavg,wspd,prcp
0,LAA,20.214285714285715,8.685714285714285,9.285714285714286
1,ARI,29.099999999999998,11.957142857142857,4.142857142857143
2,ATL,22.571428571428573,11.842857142857142,79.57142857142857
3,BAL,20.47142857142857,10.657142857142858,83.85714285714286
4,BOS,16.942857142857143,17.057142857142857,107.0
5,CHN,16.82857142857143,15.5,144.6
6,CHA,16.82857142857143,15.5,144.6
7,CIN,18.58571428571429,11.457142857142857,112.71428571428571
8,CLE,16.728571428571428,15.799999999999999,96.0
9,COL,18.583333333333332,13.466666666666667,30.77142857142857
10,DET,16.000000000000004,13.2,101.67142857142856
11,MIA,27.199999999999996,14.542857142857141,129.42857142857142
12,HOU,25.82857142857143,12.842857142857143,138.28571428571428
13,KCA,20.342857142857138,15.628571428571428,166.57142857142858
14,LAN,19.242857142857144,11.985714285714286,10.571428571428571
15,MIL,14.928571428571429,14.628571428571428,108.57142857142857
16,MIN,14.542857142857141,13.328571428571427,116.28571428571429
17,WAS,21.5,13.571428571428571,88.14285714285714
18,NYN,17.728571428571428,17.228571428571428,109.57142857142857
19,NYA,18.61428571428571,13.671428571428573,129.42857142857142
20,OAK,17.057142857142857,15.457142857142857,22.214285714285715
21,PHI,19.800000000000004,13.828571428571427,109.14285714285714
22,PIT,17.057142857142857,11.085714285714285,119.57142857142857
23,SLN,20.057142857142857,13.457142857142856,139.0
24,SDN,19.428571428571427,9.842857142857142,8.285714285714286
25,SFN,16.857142857142858,15.457142857142857,22.214285714285715
26,SEA,15.857142857142858,12.12857142857143,44.0
27,TBA,26.3,11.057142857142859,151.14285714285714
28,TEX,24.37142857142857,17.34285714285714,88.14285714285714
29,TOR,14.228571428571428,16.25,73.32857142857142
