Team,Year,Age,AVG
ARI,2019,32.095238095238095,0.2596964586846543
ARI,2020,31.25,0.2413620430645969
ARI,2021,30.107142857142858,0.24193856134325512
ATL,2019,32.4,0.2667047401484866
ATL,2020,31.0,0.26808100289296044
ATL,2021,31.384615384615383,0.2496066089693155
BAL,2019,30.458333333333332,0.2469091560652213
BAL,2020,29.63157894736842,0.2581441263573544
BAL,2021,28.347826086956523,0.23977041288650247
BOS,2019,32.19047619047619,0.2701339363367542
BOS,2020,29.526315789473685,0.2650024003840615
BOS,2021,29.565217391304348,0.26164809062671296
CHC,2019,31.869565217391305,0.25979821497865735
CHC,2020,31.3,0.22013562858633284
CHC,2021,30.88235294117647,0.2422629607727183
CIN,2019,31.869565217391305,0.2505361668941314
CIN,2020,31.047619047619047,0.21172638436482089
CIN,2021,30.391304347826086,0.2562208398133748
CLE,2019,31.423076923076923,0.25018491124260356
CLE,2020,30.35,0.2276671771311894
CLE,2021,29.25,0.238381937911571
COL,2019,31.952380952380953,0.2717330861909175
COL,2020,31.647058823529413,0.2566844919786096
COL,2021,29.45,0.2541512014065247
CWS,2019,31.136363636363637,0.26165850117945927
CWS,2020,30.571428571428573,0.2608695652173913
CWS,2021,29.291666666666668,0.25651603225201575
DET,2019,31.136363636363637,0.24049945711183496
DET,2020,29.956521739130434,0.2445853143159007
DET,2021,29.272727272727273,0.2420738530399105
HOU,2019,31.38095238095238,0.27475867000357523
HOU,2020,31.11764705882353,0.23995983935742973
HOU,2021,29.954545454545453,0.26830581478822685
KC,2019,30.541666666666668,0.24721562899397478
KC,2020,29.80952380952381,0.24396378269617705
KC,2021,29.842105263157894,0.24962990377498148
LAA,2019,32.18518518518518,0.24746560463432296
LAA,2020,30.59090909090909,0.24801980198019805
LAA,2021,31.923076923076923,0.24515414436034708
LAD,2019,32.0,0.26318829418559875
LAD,2020,29.8125,0.25612144955925564
LAD,2021,30.166666666666668,0.2514597119501752
MIA,2019,32.0,0.24714394516374713
MIA,2020,30.92,0.24392764857881133
MIA,2021,29.214285714285715,0.24120997839324296
MIL,2019,31.714285714285715,0.25218216318785575
MIL,2020,31.666666666666668,0.22343749999999998
MIL,2021,29.76923076923077,0.24048646528050216
MIN,2019,31.45,0.27054914305701294
MIN,2020,30.65,0.24161073825503357
MIN,2021,29.571428571428573,0.24178056889545624
NYM,2019,32.625,0.2623352165725047
NYM,2020,31.73913043478261,0.2723677706376668
NYM,2021,29.346153846153847,0.24334677419354836
NYY,2019,32.25,0.2684768926452077
NYY,2020,31.36842105263158,0.24699738903394258
NYY,2021,30.551724137931036,0.23801466441060348
OAK,2019,32.04347826086956,0.2487364620938628
OAK,2020,30.68421052631579,0.22536687631027255
OAK,2021,31.52,0.23813953488372094
PHI,2019,31.52,0.2518867924528302
PHI,2020,30.555555555555557,0.25667351129363447
PHI,2021,29.782608695652176,0.24647611589663274
PIT,2019,31.73913043478261,0.2699944331044721
PIT,2020,30.0,0.21997929606625258
PIT,2021,29.06896551724138,0.24387375024504998
SD,2019,29.818181818181817,0.2433430515063168
SD,2020,29.565217391304348,0.25685279187817256
SD,2021,29.476190476190474,0.24927028604786922
SEA,2019,32.148148148148145,0.23791278963692758
SEA,2020,29.285714285714285,0.2255054432348367
SEA,2021,28.16,0.22606083364626361
SF,2019,32.40625,0.24515886444820456
SF,2020,31.82608695652174,0.26349678058444775
SF,2021,31.434782608695652,0.2568683957732949
STL,2019,31.285714285714285,0.25082125603864736
STL,2020,30.736842105263158,0.23401826484018262
STL,2021,29.1,0.25053826580544136
TB,2019,30.923076923076923,0.25405887600356825
TB,2020,30.0,0.2379746835443038
TB,2021,29.17391304347826,0.2429872495446266
TEX,2019,32.388888888888886,0.25023750712521375
TEX,2020,30.869565217391305,0.21582346609257266
TEX,2021,28.391304347826086,0.23314711359404094
TOR,2019,29.833333333333332,0.23680847179112652
TOR,2020,28.904761904761905,0.25506673257538315
TOR,2021,29.083333333333332,0.2665323319289247
WAS,2019,31.904761904761905,0.2728321476639108
WAS,2020,31.95,0.2637195121951219
WAS,2021,30.642857142857142,0.26578073089700993
