team,year,AB,H,AVG
OAK,2017,5464,1344,0.24597364568081992
OAK,2018,5579,1407,0.2521957340025094
OAK,2019,5561,1384,0.24887610142060781
OAK,2020,1908,430,0.22536687631027252
OAK,2021,5395,1284,0.23799814643188136
OAK,2022,5314,1147,0.2158449378998871
PHI,2016,5434,1305,0.24015458225984543
PHI,2017,5535,1382,0.24968383017163506
PHI,2018,5424,1270,0.23414454277286137
PHI,2019,5571,1369,0.24573685155268354
PHI,2020,1948,500,0.25667351129363447
PHI,2021,5366,1288,0.24002981736861723
PHI,2022,5496,1392,0.25327510917030566
PIT,2016,5542,1426,0.2573078311079033
PIT,2017,5458,1331,0.24386222059362403
PIT,2018,5447,1381,0.2535340554433633
PIT,2019,5657,1497,0.26462789464380415
PIT,2020,1932,425,0.21997929606625258
PIT,2021,5336,1261,0.2363193403298351
PIT,2022,5331,1186,0.22247233164509472
SDN,2016,5419,1275,0.23528326259457463
SDN,2017,5356,1251,0.2335698282300224
SDN,2018,5486,1289,0.23496172074371127
SDN,2019,5391,1281,0.2376182526432944
SDN,2020,1972,506,0.2565922920892495
SDN,2021,5384,1305,0.2423848439821694
SDN,2022,5468,1317,0.2408558888076079
SEA,2016,5583,1446,0.25900053734551315
SEA,2017,5551,1436,0.25869212754458654
SEA,2018,5513,1402,0.25430799927444225
SEA,2019,5500,1305,0.23727272727272727
SEA,2020,1929,435,0.2255054432348367
SEA,2021,5355,1209,0.2257703081232493
SEA,2022,5375,1236,0.22995348837209303
SFN,2016,5565,1437,0.2582210242587601
SFN,2017,5551,1382,0.24896415060349486
SFN,2018,5541,1324,0.23894603862118752
SFN,2019,5579,1332,0.23875246459939056
SFN,2020,2019,532,0.26349678058444775
SFN,2021,5462,1360,0.24899304284145002
SFN,2022,5392,1261,0.23386498516320475
SLN,2016,5548,1415,0.25504686373467916
SLN,2017,5470,1402,0.25630712979890313
SLN,2018,5498,1369,0.24899963623135685
SLN,2019,5449,1336,0.2451826023123509
SLN,2020,1752,410,0.23401826484018265
SLN,2021,5351,1303,0.24350588675014015
SLN,2022,5496,1386,0.2521834061135371
TBA,2016,5481,1333,0.24320379492793287
TBA,2017,5478,1340,0.24461482292807593
TBA,2018,5475,1415,0.25844748858447486
TBA,2019,5628,1427,0.2535536602700782
TBA,2020,1975,470,0.2379746835443038
TBA,2021,5507,1336,0.2426003268567278
TBA,2022,5412,1294,0.23909830007390984
TEX,2016,5525,1446,0.2617194570135747
TEX,2017,5430,1326,0.24419889502762432
TEX,2018,5453,1308,0.23986796258940032
TEX,2019,5540,1374,0.248014440433213
TEX,2020,1936,420,0.21694214876033058
TEX,2021,5405,1254,0.23200740055504163
TEX,2022,5478,1308,0.23877327491785322
TOR,2016,5479,1358,0.24785544807446613
TOR,2017,5499,1320,0.24004364429896344
TOR,2018,5477,1336,0.2439291582983385
TOR,2019,5493,1299,0.2364827962861824
TOR,2020,2023,516,0.2550667325753831
TOR,2021,5476,1455,0.26570489408327247
TOR,2022,5555,1464,0.26354635463546355
WAS,2016,5490,1403,0.25555555555555554
WAS,2017,5553,1477,0.26598235188186564
WAS,2018,5517,1402,0.2541236179082835
WAS,2019,5512,1460,0.2648766328011611
WAS,2020,1968,519,0.26371951219512196
WAS,2021,5385,1388,0.257753017641597
WAS,2022,5434,1351,0.2486198012513802
